customer_id,order_date,product_category,order_value,session_count,pages_viewed,device,payment_method,returned,discount_pct,age_group,region
8270,2024-02-16,Home & Kitchen,111.89,2,5,Mobile,Credit Card,0,15,25-34,South
1860,2024-02-02,Electronics,148.95,2,3,Desktop,UPI,1,5,35-44,West
6390,2024-07-19,Books,17.89,7,4,Mobile,Credit Card,0,5,18-24,West
6191,2024-07-23,Toys,25.25,2,7,Mobile,Wallet,0,10,18-24,West
6734,2024-12-05,Beauty,24.43,4,6,Desktop,Credit Card,0,10,25-34,North
7265,2023-04-12,Fashion,31.27,7,6,Desktop,Debit Card,0,0,35-44,West
1466,2024-02-25,Toys,48.75,7,8,Mobile,Debit Card,0,0,25-34,North
5426,2024-11-11,Fashion,38.52,4,7,Mobile,UPI,1,0,18-24,South
6578,2023-12-25,Fashion,75.41,8,3,Mobile,COD,0,0,25-34,West
9322,2024-03-13,Home & Kitchen,63.89,7,9,Mobile,UPI,0,5,25-34,West
2685,2023-12-06,Toys,24.48,4,4,Mobile,Debit Card,0,15,35-44,West
1769,2024-03-05,Electronics,130.18,2,7,Desktop,Credit Card,0,0,35-44,East
7949,2024-05-20,Books,34.34,13,6,Desktop,UPI,0,20,25-34,Central
3433,2023-01-17,Fashion,132.9,7,9,Tablet,UPI,0,10,25-34,North
6311,2023-01-16,Electronics,128.01,8,9,Desktop,Debit Card,0,20,35-44,South
6051,2023-06-20,Toys,28.59,4,3,Mobile,Credit Card,0,15,25-34,South
7420,2023-07-14,Home & Kitchen,110.56,5,10,Mobile,Credit Card,0,0,25-34,Central
2184,2023-06-23,Beauty,42.44,5,10,Desktop,Credit Card,0,10,55+,East
5555,2023-03-10,Fashion,44.32,4,6,Mobile,Debit Card,0,5,25-34,East
4385,2024-09-19,Beauty,47.85,6,7,Mobile,Credit Card,0,0,18-24,South
7396,2023-01-09,Sports,91.49,4,7,Tablet,Debit Card,0,0,18-24,West
9666,2024-11-12,Fashion,54.24,2,7,Desktop,UPI,0,0,18-24,East
10274,2023-11-06,Home & Kitchen,73.21,6,9,Desktop,Credit Card,0,5,18-24,South
3558,2024-12-13,Toys,59.01,5,9,Mobile,UPI,0,15,25-34,East
8849,2023-08-02,Sports,47.02,7,6,Mobile,Wallet,1,0,25-34,South
3047,2023-02-07,Fashion,47.04,5,13,Mobile,UPI,0,10,35-44,South
3747,2024-12-24,Books,16.3,7,8,Desktop,UPI,0,0,35-44,East
10167,2024-11-23,Beauty,67.18,3,7,Desktop,Debit Card,0,20,45-54,South
10998,2024-04-02,Electronics,31.4,9,12,Desktop,Credit Card,1,0,25-34,North
1189,2024-07-08,Home & Kitchen,106.32,6,7,Mobile,Credit Card,0,0,35-44,South
3734,2024-10-12,Toys,34.59,5,5,Desktop,COD,0,0,18-24,South
4005,2024-11-14,Toys,60.39,4,7,Mobile,Debit Card,0,15,25-34,West
5658,2024-01-25,Sports,79.96,7,9,Mobile,UPI,0,0,35-44,West
2899,2024-06-03,Electronics,20.92,5,8,Desktop,COD,1,10,55+,North
8734,2023-06-04,Toys,57.56,5,8,Desktop,Credit Card,0,0,35-44,South
2267,2023-07-26,Books,18.11,10,8,Desktop,UPI,0,10,25-34,Central
2528,2024-12-22,Fashion,11.02,5,10,Mobile,Credit Card,0,0,45-54,North
4556,2023-07-29,Books,16.76,3,8,Mobile,Credit Card,0,25,25-34,Central
4890,2023-12-18,Sports,71.01,2,7,Mobile,Credit Card,0,5,35-44,West
9838,2023-11-01,Electronics,87.05,6,7,Mobile,UPI,0,20,25-34,South
6393,2023-01-19,Sports,27.12,4,6,Mobile,Credit Card,0,0,45-54,East
9792,2024-01-27,Toys,39.15,3,9,Desktop,Debit Card,1,15,35-44,North
9433,2023-08-12,Electronics,75.37,4,8,Mobile,COD,0,0,45-54,South
8513,2024-02-19,Sports,41.27,4,10,Mobile,UPI,0,15,25-34,South
3612,2023-02-20,Toys,54.0,2,4,Desktop,Credit Card,0,20,18-24,Central
8041,2024-07-31,Electronics,130.17,4,10,Mobile,Debit Card,0,5,45-54,North
10555,2023-02-07,Fashion,30.79,8,9,Desktop,UPI,0,0,25-34,South
7235,2023-07-03,Fashion,38.51,7,10,Mobile,UPI,0,10,55+,East
6486,2023-09-08,Fashion,69.27,6,7,Desktop,Debit Card,0,10,18-24,East
8099,2024-09-13,Beauty,46.75,2,10,Mobile,Wallet,0,10,35-44,South
